Date,XOM,RDS.A,CVX,TOT,BP,PTR,SNP,SLB,EPD,E,COP,EQNR,EOG,PBR,CEO,SU,OXY,HAL
6/18/2001 16:00:00,44.61,60.5,48.35,36.9,53.05,20.5,13.94,28.53,10.13,25.65,23.23,7.47,10.18,6.56,18.75,13.85,14.09,21.45
6/19/2001 16:00:00,44.38,60.6,47.86,36.5,52.75,20.55,14.19,28.68,10.03,25.32,22.97,7.62,10,6.51,18.6,13.75,13.79,21.25
6/20/2001 16:00:00,44.38,59.98,47.5,36.28,52.65,21.3,14.36,28.45,9.85,25.08,23.01,7.64,10,6.56,19.7,13.58,14.03,21.03
6/21/2001 16:00:00,43.85,60.1,47.24,36.08,52.61,21.22,14.62,27.7,9.98,25,22.78,7.57,9.84,6.77,19.65,13.2,13.75,20.83
6/22/2001 16:00:00,44.25,60.02,47.05,35.94,51.75,21.05,15.37,26.8,9.98,25.26,22.16,7.51,9.28,6.9,19.5,13.05,13.55,19.63
6/25/2001 16:00:00,44.01,60.56,47.48,37,52.75,21.15,15.88,27.23,9.94,25.84,22.34,7.5,9.35,6.84,19.17,12.95,13.51,19.85
6/26/2001 16:00:00,44.2,60.09,47.35,36.5,52.65,21.15,15.35,26.95,9.95,25.86,21.97,7.5,9.38,6.81,19.45,12.75,13.31,19.8
6/27/2001 16:00:00,44.03,58.54,46.93,36.33,52.45,21.58,15.31,27.13,10.03,25.84,21.8,7.44,9.37,6.75,19.22,12.71,13.29,20.26
6/28/2001 16:00:00,43.18,56.57,45.5,34.38,50.15,20.8,14.77,26.41,10.11,24.42,21.31,7.12,9.2,6.55,19.2,12.35,13.05,19.33
6/29/2001 16:00:00,43.41,58.27,44.74,34.35,49.2,21.01,15.23,26.53,9.9,24.4,21.27,7.37,8.98,6.49,18.95,12.43,12.84,18.02
7/2/2001 16:00:00,44.13,58.2,45.25,34.4,48.85,20.8,15.25,26.65,9.9,24.5,21.79,7.2,9.01,6.45,18.91,12.85,12.87,17.63
7/3/2001 16:00:00,43.83,56.99,45.16,33.83,48.45,20.75,15.31,26.48,9.98,23.84,21.82,7.2,8.72,6.38,19.01,12.6,12.72,17.3
7/5/2001 16:00:00,43.75,57.4,45.2,34.23,49.2,20.55,14.65,26.76,9.95,24.34,21.84,7.08,8.85,6.15,18.9,13.15,12.6,17.02
7/6/2001 16:00:00,43.8,56.62,45.98,34.17,48.7,20.45,14.69,27.25,10.09,24.28,22.01,7.27,9.12,5.78,18.4,13.01,12.95,17.13
7/9/2001 16:00:00,43.53,56.79,45.5,34.55,48.75,20.56,14.62,26.68,10.2,24.33,21.92,7.05,9.15,5.99,18.8,12.9,12.9,16.75
7/10/2001 16:00:00,43.25,55.94,45,34.5,48.35,20.75,14.69,25.98,10.23,24.16,21.65,6.86,8.93,6,18.95,12.9,12.84,16.2
7/11/2001 16:00:00,42.75,55.82,44.5,34.13,47.9,20.55,14.58,25.33,10.31,24.2,21.57,6.79,8.56,5.8,19,12.58,12.82,16.52
7/12/2001 16:00:00,42.08,56.17,44,33.78,47.65,20.6,14.73,25.35,10.14,23.76,21.25,6.8,8.46,6,19.75,12.75,12.81,16.58
7/13/2001 16:00:00,42.73,56.26,44.53,33.98,48.15,20.25,14.62,24.55,10.06,23.57,21.15,6.79,8.28,5.81,19.6,12.85,12.91,15.89
7/16/2001 16:00:00,43.08,55.77,44.75,34.23,47.97,19.9,14.01,25.23,10,23.66,21.18,6.86,8.37,5.85,19.25,12.92,12.98,16.08
7/17/2001 16:00:00,43.11,55.8,43.85,33.81,47.75,19.5,13.35,24.68,10,23.34,20.96,6.55,7.88,5.56,18.9,12.93,12.78,15.55
7/18/2001 16:00:00,42.25,54.57,43.03,33.1,46.8,19.5,13.27,24.15,10.07,22.4,20.41,6.58,7.96,5.7,18.65,13.1,12.65,15.01
